dataid,Previous meter,Current meter,Difference,Previous Date,Previous Hour,Previous Minute,Previous Second,Current Date,Current Hour,Current Minute,Current Second
4514.0,416082.0,389236.0,26846.0,2015-12-9,5.0,48.0,3.0,2015-12-9,5.0,57.0,58.0
4514.0,416082.0,389244.0,26838.0,2015-12-9,6.0,20.0,11.0,2015-12-9,6.0,21.0,59.0
4514.0,416084.0,389258.0,26826.0,2015-12-9,7.0,13.0,0.0,2015-12-9,7.0,27.0,19.0
4514.0,416086.0,389270.0,26816.0,2015-12-9,8.0,8.0,57.0,2015-12-9,8.0,17.0,8.0
4514.0,416088.0,389280.0,26808.0,2015-12-9,9.0,5.0,49.0,2015-12-9,9.0,9.0,58.0
4514.0,416092.0,389290.0,26802.0,2015-12-9,10.0,21.0,7.0,2015-12-9,10.0,29.0,0.0
4514.0,416094.0,389294.0,26800.0,2015-12-9,11.0,19.0,4.0,2015-12-9,11.0,53.0,19.0
4514.0,416096.0,389296.0,26800.0,2015-12-9,12.0,41.0,54.0,2015-12-9,13.0,17.0,4.0
4514.0,416096.0,389298.0,26798.0,2015-12-9,13.0,49.0,56.0,2015-12-9,14.0,17.0,55.0
4514.0,416100.0,389300.0,26800.0,2015-12-9,15.0,28.0,4.0,2015-12-9,15.0,29.0,12.0
4514.0,416100.0,389302.0,26798.0,2015-12-9,16.0,33.0,55.0,2015-12-9,17.0,30.0,3.0
4514.0,416102.0,389302.0,26800.0,2015-12-9,17.0,41.0,55.0,2015-12-9,17.0,42.0,59.0
4514.0,416106.0,389306.0,26800.0,2015-12-9,19.0,29.0,3.0,2015-12-9,19.0,41.0,12.0
4514.0,416108.0,389306.0,26802.0,2015-12-9,20.0,14.0,0.0,2015-12-9,20.0,19.0,20.0
4514.0,416118.0,389308.0,26810.0,2015-12-9,22.0,2.0,59.0,2015-12-9,22.0,11.0,3.0
4514.0,416124.0,389310.0,26814.0,2015-12-9,23.0,22.0,7.0,2015-12-9,23.0,33.0,6.0
4514.0,416126.0,389312.0,26814.0,2015-12-10,0.0,44.0,52.0,2015-12-10,1.0,0.0,10.0
4514.0,416128.0,389314.0,26814.0,2015-12-10,1.0,8.0,54.0,2015-12-10,1.0,14.0,9.0
4514.0,416130.0,389314.0,26816.0,2015-12-10,2.0,17.0,59.0,2015-12-10,2.0,19.0,3.0
4514.0,416134.0,389320.0,26814.0,2015-12-10,5.0,35.0,50.0,2015-12-10,5.0,39.0,8.0
4514.0,416136.0,389332.0,26804.0,2015-12-10,7.0,14.0,9.0,2015-12-10,7.0,18.0,59.0
4514.0,416136.0,389332.0,26804.0,2015-12-10,7.0,20.0,8.0,2015-12-10,7.0,21.0,56.0
4514.0,416138.0,389338.0,26800.0,2015-12-10,8.0,15.0,2.0,2015-12-10,8.0,27.0,10.0
4514.0,416138.0,389340.0,26798.0,2015-12-10,8.0,51.0,0.0,2015-12-10,8.0,53.0,19.0
4514.0,416142.0,389348.0,26794.0,2015-12-10,11.0,4.0,1.0,2015-12-10,11.0,18.0,56.0
4514.0,416142.0,389348.0,26794.0,2015-12-10,11.0,52.0,9.0,2015-12-10,11.0,55.0,4.0
4514.0,416146.0,389350.0,26796.0,2015-12-10,13.0,30.0,59.0,2015-12-10,13.0,35.0,12.0
4514.0,416148.0,389352.0,26796.0,2015-12-10,14.0,47.0,59.0,2015-12-10,15.0,8.0,0.0
4514.0,416148.0,389354.0,26794.0,2015-12-10,15.0,31.0,6.0,2015-12-10,15.0,35.0,58.0
4514.0,416150.0,389354.0,26796.0,2015-12-10,16.0,7.0,8.0,2015-12-10,16.0,18.0,9.0
4514.0,416152.0,389356.0,26796.0,2015-12-10,17.0,41.0,58.0,2015-12-10,17.0,59.0,9.0
4514.0,416154.0,389358.0,26796.0,2015-12-10,19.0,13.0,58.0,2015-12-10,19.0,19.0,0.0
4514.0,416154.0,389360.0,26794.0,2015-12-10,19.0,49.0,10.0,2015-12-10,19.0,54.0,1.0
4514.0,416154.0,389360.0,26794.0,2015-12-10,20.0,4.0,9.0,2015-12-10,20.0,20.0,5.0
4514.0,416156.0,389362.0,26794.0,2015-12-10,21.0,8.0,4.0,2015-12-10,21.0,16.0,17.0
4514.0,416158.0,389362.0,26796.0,2015-12-10,21.0,27.0,59.0,2015-12-10,21.0,37.0,16.0
4514.0,416160.0,389366.0,26794.0,2015-12-10,23.0,31.0,59.0,2015-12-10,23.0,47.0,56.0
4514.0,416160.0,389366.0,26794.0,2015-12-10,23.0,50.0,2.0,2015-12-11,0.0,4.0,0.0
4514.0,416166.0,389370.0,26796.0,2015-12-11,3.0,7.0,54.0,2015-12-11,3.0,27.0,5.0
4514.0,416166.0,389370.0,26796.0,2015-12-11,3.0,30.0,0.0,2015-12-11,3.0,47.0,58.0
4514.0,416166.0,389372.0,26794.0,2015-12-11,4.0,14.0,10.0,2015-12-11,4.0,16.0,59.0
4514.0,416170.0,389374.0,26796.0,2015-12-11,6.0,8.0,53.0,2015-12-11,6.0,15.0,8.0
4514.0,416172.0,389378.0,26794.0,2015-12-11,7.0,4.0,53.0,2015-12-11,7.0,14.0,5.0
4514.0,416174.0,389382.0,26792.0,2015-12-11,8.0,27.0,10.0,2015-12-11,8.0,37.0,56.0
4514.0,416176.0,389390.0,26786.0,2015-12-11,10.0,21.0,53.0,2015-12-11,10.0,25.0,11.0
4514.0,416178.0,389392.0,26786.0,2015-12-11,11.0,37.0,52.0,2015-12-11,11.0,38.0,59.0
4514.0,416178.0,389392.0,26786.0,2015-12-11,12.0,32.0,7.0,2015-12-11,12.0,33.0,58.0
4514.0,416180.0,389394.0,26786.0,2015-12-11,13.0,2.0,14.0,2015-12-11,13.0,13.0,5.0
4514.0,416184.0,389398.0,26786.0,2015-12-11,15.0,18.0,50.0,2015-12-11,15.0,53.0,59.0
4514.0,416188.0,389398.0,26790.0,2015-12-11,16.0,4.0,59.0,2015-12-11,16.0,12.0,4.0
4514.0,416190.0,389400.0,26790.0,2015-12-11,17.0,17.0,9.0,2015-12-11,17.0,19.0,4.0
4514.0,416190.0,389402.0,26788.0,2015-12-11,18.0,15.0,8.0,2015-12-11,18.0,24.0,15.0
4514.0,416192.0,389402.0,26790.0,2015-12-11,18.0,44.0,53.0,2015-12-11,18.0,51.0,8.0
4514.0,416192.0,389404.0,26788.0,2015-12-11,19.0,34.0,49.0,2015-12-11,19.0,46.0,9.0
4514.0,416194.0,389404.0,26790.0,2015-12-11,20.0,25.0,59.0,2015-12-11,20.0,33.0,57.0
4514.0,416194.0,389406.0,26788.0,2015-12-11,20.0,51.0,3.0,2015-12-11,21.0,8.0,56.0
4514.0,416196.0,389406.0,26790.0,2015-12-11,21.0,13.0,10.0,2015-12-11,21.0,28.0,4.0
